timestamp,accX,accY,accZ,geoX,geoY,geoZ,label
1.59244E+12,-1.0307361,1.0299703,-0.8491489,-1.1567719,1.91413,-5.360821,0
1.59244E+12,-1.0616381,1.1236343,-0.7518916,0.029153,4.244939,-4.932822,0
1.59244E+12,-0.6177519,0.8716277,-0.11684455,1.072767,4.95756,-4.159972,0
1.59244E+12,-0.33148965,0.56859696,-0.0442609,1.531147,5.5843678,-3.1717901,0
1.59244E+12,-0.23399279,0.4222319,0.27721518,2.8114128,4.80299,-2.162288,0
1.59244E+12,-0.0318126,0.23178966,0.3629741,3.2799199,4.06745,-1.031795,0
1.59244E+12,-0.4500669,0.0217043,0.76374125,3.6269028,3.871839,-0.22696501,0
1.59244E+12,-0.41964406,0.13836515,0.65211093,3.169589,2.640076,1.378964,0
1.59244E+12,-0.15422265,-0.04752565,0.90435714,3.19997,3.490211,0.508042,0
1.59244E+12,-0.01624185,0.27203405,0.44825393,2.605675,3.069141,1.159368,0
1.59244E+12,-0.5719978,0.26796168,0.6645676,0.59893,3.669299,2.045747,0
1.59244E+12,-0.80196583,0.4940969,0.42190343,0.466213,4.492251,2.473746,0
1.59244E+12,-0.97563964,0.64860666,0.17013635,-0.88973904,3.398002,3.344135,0
1.59244E+12,-0.94928914,0.67495716,0.2556557,-0.762352,2.769595,3.799317,0
1.59244E+12,-1.0520561,0.73005366,0.3347072,-0.975552,2.4428658,3.905917,0
1.59244E+12,-1.4420435,0.80311644,0.0553919,-0.860957,2.324007,3.88513,0
1.59244E+12,-1.8071177,1.181845,-0.3499267,-1.9642669,2.544669,4.423993,0
1.59244E+12,-2.1892,1.0793176,-0.045458652,-3.5664651,2.62302,4.191072,0
1.59244E+12,-2.5286422,1.124832,-0.46395248,-4.937341,1.2510779,3.189565,0
1.59244E+12,-2.3714976,1.3272518,-0.63139796,-3.9102502,1.3081089,4.002923,0
1.59244E+12,-2.6342838,1.0453014,-0.3518431,-5.560951,0.929146,2.807404,0
1.59244E+12,-2.4158142,1.1233947,-0.7264993,-5.252877,0.385486,1.275562,0
1.59244E+12,-2.4294686,0.9837371,-0.98689014,-5.484732,-0.605361,-0.990221,0
