timestamp,accX,accY,accZ,geoX,geoY,geoZ,label
1.59E+12,-0.9397071,1.6609449,0.95418346,-1.1880703,5.0998406,4.4155383,0
1.59E+12,-0.90976334,1.8705511,0.7635017,-2.1986382,3.8638136,6.187763,0
1.59E+12,-0.9545592,2.001585,0.4367555,-3.5236764,3.0483236,6.9217043,0
1.59E+12,-2.0222335,2.775092,0.83680403,-5.642351,3.2673864,6.5725894,0
1.59E+12,-2.906652,2.964097,1.0751562,-7.172594,3.4619315,4.7881055,0
1.59E+12,-3.2472923,2.6946032,0.43316227,-8.215675,3.7199035,1.8384836,0
1.59E+12,-3.7244759,2.2190964,0.49209157,-8.597303,4.8424015,-1.6020315,0
1.59E+12,-3.7062702,1.6441765,-1.0240204,-3.1153984,2.1065125,-7.2326436,0
1.59E+12,-3.8610196,1.9397812,0.0362279,-5.945628,2.5238516,-5.1438165,0
1.59E+12,-3.3258648,1.6063277,-1.3874178,0.11085067,0.7601546,-6.9698744,0
1.59E+12,-1.7546562,1.32821,-2.355679,-0.22227433,2.4183176,-6.8558125,0
1.59E+12,-1.5781078,1.3825878,-1.9204165,1.1528656,4.4170675,-6.0962877,0
1.59E+12,-1.5395403,1.8097055,-1.7965691,2.3713038,4.5268655,-4.4615765,0
1.59E+12,-0.9785142,2.7973702,-1.4774885,5.5575776,2.5153236,-2.9270694,0
1.59E+12,-0.5207342,1.6065671,-0.43544608,4.2469306,2.3671496,-2.2267072,0
1.59E+12,-0.3714945,1.3885766,0.0587456,3.2299666,4.2534366,-2.1238384,0
1.59E+12,-0.57032096,1.1547759,0.20175695,2.5669148,2.9427896,-1.4805075,0
1.59E+12,-0.4572534,0.8158126,0.34117505,4.064645,3.7470865,0.21869656,0
1.59E+12,0.1612647,1.0223047,-0.0389908,3.8669016,2.3287735,1.4787085,0
1.59E+12,0.06472605,1.1636392,0.86866415,3.6169248,3.0872326,2.6092017,0
1.59E+12,0.060174603,1.2041231,1.1082141,1.5936567,3.5141656,3.4636006,0
1.59E+12,-0.3772437,1.1521407,1.2502673,-1.8564523,4.4026766,3.4929156,0
1.59E+12,-0.5789448,1.2470025,1.5190424,-3.0183923,4.5140734,5.7864146,0
1.59E+12,-0.39760545,1.8226411,0.1746878,-3.0322504,3.0611155,6.1456566,0
1.59E+12,-1.3960499,2.0437458,0.6751078,-5.228743,1.7350117,6.0529146,0
1.59E+12,-2.1125438,2.4260678,0.76038754,-6.15563,2.7413156,5.5183153,0
1.59E+12,-2.998879,2.671367,0.24367818,-6.8202815,3.3414736,2.7786956,0
1.59E+12,-3.9206672,1.987212,-0.0576757,-5.6562095,2.6101975,-3.4312873,0
1.59E+12,-3.7565753,2.2849727,0.042456202,-7.248813,3.5648005,-0.31003943,0
1.59E+12,-3.946299,1.8578551,-1.3047731,-3.3259332,2.2301686,-6.1037498,0
1.59E+12,-3.4224033,1.6398646,-1.7764469,-0.22174133,0.2223576,-7.4005384,0
1.59E+12,-2.805562,1.6889722,-2.1994922,0.41519368,1.1849556,-8.072119,0
1.59E+12,-2.1856065,1.7347263,-2.358314,0.9982957,2.0963855,-8.01722,0
1.59E+12,-1.5261256,1.7845528,-1.9496416,2.0792198,3.7737365,-6.5957084,0
1.59E+12,-0.62757343,2.2511961,-1.70027,2.1213267,3.8222396,-4.7392697,0
1.59E+12,-0.3274173,1.9874516,-0.794292,2.0984077,4.6164093,-2.5768883,0
1.59E+12,0.1205412,1.1408819,-0.30656815,2.9016387,3.0547194,0.35088056,0
1.59E+12,0.0352614,1.5421282,-0.5889976,3.0434167,3.7998536,-0.93045145,0
1.59E+12,0.17563769,0.96816635,-0.02677375,3.1191027,3.3158896,1.6812485,0
1.59E+12,0.09730485,0.9070811,0.08677295,3.0780618,2.0047095,2.5937448,0
1.59E+12,-0.0634332,0.8426421,0.27218467,2.9783907,1.4072167,3.3042336,0
1.59E+12,-0.2598642,1.0544044,0.6343843,2.8478057,2.0990505,4.0088596,0
1.59E+12,-0.6385928,1.239337,0.76374125,-1.1864713,4.6947603,4.348913,0
1.59E+12,-0.48144794,0.99882877,1.2981774,-1.3293153,1.8314847,4.6202106,0
1.59E+12,-0.8493967,1.5493147,0.6269582,-2.4208994,2.9870286,6.4873095,0
1.59E+12,-0.9078469,2.0820737,0.2867972,-3.3195374,1.9721967,6.8561454,0
1.59E+12,-1.7489071,2.5623717,0.4425047,-4.065204,3.0621815,6.8326936,0
1.59E+12,-3.0266666,2.3994775,0.052996404,-7.2013764,4.0460997,-0.46407643,0
1.59E+12,-2.7217195,2.42487,0.012751999,-6.5633755,2.9347944,1.8667326,0
1.59E+12,-2.547567,2.6016579,0.42262205,-6.043167,3.5210946,4.0200524,0
1.59E+12,-3.357006,2.092135,-0.0385117,-6.212128,5.5289054,-3.8059864,0
1.59E+12,-3.2997537,1.9527168,-0.9396988,-3.3120754,4.9207525,-6.2615175,0
1.59E+12,-2.7011182,1.9012136,-1.4130496,-0.5617953,3.5845215,-7.2075925,0
1.59E+12,-2.1053574,1.9479258,-1.6578697,0.8618477,2.9299974,-6.9357624,0
1.59E+12,-1.4394084,1.728019,-1.836574,2.2348557,2.4343076,-6.477916,0
1.59E+12,-1.1421268,1.687535,-1.9383827,2.9517407,4.5588455,-5.6965375,0
1.59E+12,-0.80172634,1.829109,-1.7915386,2.9719946,3.1831725,-3.3577332,0
1.59E+12,-0.4031151,1.8846846,-1.0709722,3.6632957,2.5062625,-1.5983005,0
1.59E+12,-0.00713895,1.5433259,-0.61798316,3.4772787,2.8116715,-0.43262944,0
1.59E+12,-0.0279798,0.98445576,-0.035158,3.0967166,2.2552195,0.11849256,0
1.59E+12,0.03550095,0.6977144,0.1732505,3.5662897,2.0308266,1.1008116,0
1.59E+12,-0.0030666,0.5003252,0.2805689,3.2774036,2.3890026,2.0383587,0
1.59E+12,0.06855885,0.6177047,0.0817424,2.8915117,1.9796586,1.4499265,0
1.59E+12,-0.01815825,0.45744577,0.2340962,2.1453116,2.8873575,2.6779587,0
1.59E+12,-0.09577245,0.50104386,0.52467036,2.3132067,2.0787966,3.3841836,0
1.59E+12,0.00388035,0.60884136,0.3859709,1.4342897,2.2354984,4.3211975,0
1.59E+12,-0.1971021,0.8855216,0.60683596,-0.6779893,3.2561936,4.5525193,0
1.59E+12,-0.6843468,1.0553625,0.8897446,-1.4551033,2.2744076,5.2059774,0
1.59E+12,-0.51666176,1.4609207,0.55197906,-2.5365603,1.5607207,5.642504,0
